"cmc","description","numOfColors","numOfReprints","power","rarity","toughness","keywords","releaseDate","price"
"7","remove target permanent from the game. if this would be put into a graveyard from anywhere reveal this and shuffle it into its owner's library instead.","5","2","0","14","0","[]","730549","1.30"
"5"," sacrifice this: this deals damage equal to its power to target creature.","2","1","3.0","5","4.0","[]","730549","0.22"
"5","destroy two target nonblack creatures unless either one is a color the other isn't. they can't be regenerated.","1","1","0","1","0","[]","730549","0.19"
"4"," when this comes into play draw a card.","2","1","2.0","5","6.0","[]","730549","0.27"
"2","add or to your mana pool.","3","1","1.0","1","1.0","[]","730549","0.27"
"3","destroy target permanent.","2","3","0","14","0","[]","730549","6.00"
"2","kicker return target creature to its owner's hand. if you paid the kicker cost this deals 2 damage to another target creature.","2","1","0","1","0","[u'Kicker']","730549","0.23"
"2","at the beginning of each player's upkeep if there are four or more basic land types among lands that player controls this deals 3 damage to him or her.","0","1","0","14","0","[]","730549","0.31"
"1"," enchanted creature's type is flagbearer. if an opponent plays a spell or ability that could target a flagbearer in play that player chooses at least one flagbearer as a target.","1","1","0","5","0","[]","730549","0.21"
"4","pay 2 life: prevent the next 1 damage that would be dealt to target creature this turn.","2","1","0","5","0","[]","730549","0.20"
"1","prevent all damage that would be dealt this turn to creatures you control.","1","1","0","1","0","[]","730549","0.19"
"2","add to your mana pool.","2","1","2.0","1","2.0","[]","730549","0.21"
"0","add one colorless mana to your mana pool. add or to your mana pool. this deals 1 damage to you.","2","5","0","14","0","[]","730549","2.97"
"0","add one colorless mana to your mana pool. add or to your mana pool. this deals 1 damage to you.","2","6","0","14","0","[]","730549","2.44"
"5","destroy target creature blocking or blocked by this. regenerate this.","5","1","5.0","14","5.0","[u'Flying']","730549","3.29"
"3","","2","1","3.0","5","3.0","[]","730549","0.23"
"3","at the beginning of your upkeep if you control a green or white permanent target player loses 1 life. if you control a green permanent and a white permanent that player loses 3 life instead.","1","1","0","5","0","[]","730549","0.20"
"1","look at the top three cards of target opponent's library then put them back in any order. that player looks at the top three cards of your library then puts them back in any order.","1","1","0","1","0","[]","730549","0.18"
"4","as an additional cost to play this sacrifice five lands. search your library for a land card of each basic land type and put them into play. then shuffle your library.","1","1","0","5","0","[]","730549","0.20"
"2","counter target spell if it shares a color with a creature you control.","1","1","0","1","0","[]","730549","0.19"
"3","flying return target kavu to its owner's hand.","1","1","2.0","1","1.0","[u'Flying']","730549","0.19"
"5","put a multicolored creature card from your hand into play.","0","1","0","5","0","[]","730549","1.83"
"5","whenever a player plays a spell any other player may pay that spell's mana cost. if a player does counter the spell.","1","1","0","14","0","[]","730549","0.33"
"8","sacrifice this: this deals 6 damage to each creature and each player.","1","4","6.0","14","6.0","[]","730549","0.34"
"5","return up to two target creature cards from your graveyard to your hand. draw a card.","1","3","0","1","0","[]","730549","0.22"
"3","choose a number. flip a coin that many times or until you lose a flip whichever comes first. if you win all the flips draw two cards for each flip.","2","1","0","5","0","[u'Flip']","730549","0.26"
"3","whenever enchanted creature deals or is dealt damage you gain that much life.","2","1","0","1","0","[]","730549","0.25"
"1","look at the top five cards of your library then put them back in any order.","1","4","0","1","0","[]","730549","0.19"
"6","when this comes into play you draw two cards and you lose 2 life.","1","6","4.0","5","4.0","[]","730549","0.22"
"2","target instant or sorcery spell becomes the color of your choice.","1","1","1.0","5","1.0","[]","730549","0.18"
"3","when this comes into play shuffle the cards from your hand into your library then draw that many cards. sacrifice this: each player shuffles the cards from his or her hand into his or her library then draws that many cards.","2","2","2.0","14","2.0","[]","730549","0.25"
"2","the next x damage that would be dealt to target creature or player this turn is dealt to another target creature or player instead.","2","2","0","5","0","[]","730549","0.20"
"6","whenever a player plays a blue spell this gets +2/+2 until end of turn.","1","1","4.0","1","4.0","[]","730549","0.19"
"3","enchanted creature has "" : this creature deals 1 damage to target player. you draw a card.""","2","2","0","1","0","[]","730549","0.25"
"3","at the beginning of your upkeep if you control a red or green permanent draw a card then discard a card from your hand. if you control a red permanent and a green permanent instead draw two cards then discard a card from your hand.","1","1","0","5","0","[]","730549","0.20"
"3","kicker destroy target artifact or enchantment. if you paid the kicker cost this deals damage equal to that artifact or enchantment's converted mana cost to target creature.","2","4","0","1","0","[u'Kicker']","730549","0.22"
"3","search your library for an enchantment card and reveal that card. put it into your hand then discard a card at random from your hand. then shuffle your library. search your library for an instant card and reveal that card. put it into your hand then discard a card at random from your hand. then shuffle your library.","3","1","0","14","0","[]","730549","0.38"
"2","target player discards two cards from his or her hand. you gain 3 life for each land card discarded this way.","2","2","0","5","0","[]","730549","0.34"
"7","trample when this is put into a graveyard from play put a 6/6 black wurm creature token with trample into play.","1","2","6.0","14","6.0","[u'Trample']","730549","0.48"
"1","add one mana of any color to your mana pool. prevent the next 1 damage that would be dealt to target creature or player this turn.","3","1","1.0","1","1.0","[]","730549","0.21"
"2","counter target spell unless its controller pays for each basic land type among lands you control.","1","2","0","5","0","[]","730549","0.20"
"3","at the beginning of your upkeep you draw a card and you lose 1 life.","1","7","0","14","0","[]","730549","4.99"
"3","target player removes all cards in his or her hand from the game face down. at the end of that player's next turn that player returns those cards to his or her hand.","1","1","0","5","0","[]","730549","0.21"
"1","target creature gains flying until end of turn. target creature gets -2/-0 until end of turn.","3","1","1.0","1","1.0","[u'Flying']","730549","0.19"
"7","trample whenever this deals damage to an opponent you draw a card and that opponent discards a card from his or her hand.","3","2","6.0","14","4.0","[u'Trample']","730549","0.31"
"3","at the beginning of your upkeep if you control a black or red permanent you gain 2 life. if you control a black permanent and a red permanent you gain 4 life instead.","1","1","0","5","0","[]","730549","0.26"
"5","all creatures get -1/-1 until end of turn for each basic land type among lands you control.","1","1","0","14","0","[]","730549","0.31"
"4","haste","1","1","1.0","1","1.0","[u'Haste']","730549","0.19"
"4","sacrifice this: this deals 2 damage to each creature.","1","2","2.0","5","2.0","[]","730549","0.20"
"2","when this comes into play shuffle the cards from your hand into your library then draw that many cards.","1","1","1.0","1","1.0","[]","730549","0.25"
"2","protection from green regenerate this.","2","1","2.0","14","1.0","[u'Protection']","730549","0.60"
"3"," sacrifice enchanted creature: this deals damage equal to the enchanted creature's power to each creature.","1","1","0","1","0","[]","730549","0.19"
"2","choose a creature type other than wall. target creature's type becomes that type until end of turn.","1","1","0","14","0","[]","730549","0.59"
"2","kicker if you paid the kicker cost this comes into play with two +1/+1 counters on it and has "" pay 3 life: regenerate this."" if you paid the kicker cost this comes into play with a +1/+1 counter on it and has first strike.","3","1","1.0","14","1.0","[u'First strike', u'Kicker']","730549","0.34"
"3","when this comes into play you draw a card and you lose 1 life.","1","8","2.0","1","2.0","[]","730549","0.21"
"3","kicker if you paid the kicker cost this comes into play with two +1/+1 counters on it and has trample. if you paid the kicker cost this comes into play with a +1/+1 counter on it and has "" whenever this deals damage you gain that much life.""","3","1","2.0","14","2.0","[u'Trample', u'Kicker']","730549","0.34"
"2","kicker spend only colored mana on x. no more than one mana of each color may be spent this way. if you paid the kicker cost this comes into play with x +1/+1 counters on it.","0","1","1.0","5","2.0","[u'Kicker']","730549","0.20"
"4","whenever a creature you control attacks it gets +2/+2 until end of turn.","3","1","0","14","0","[]","730549","0.38"
"3","flying add one mana of any color to your mana pool.","1","1","1.0","1","2.0","[u'Flying']","730549","0.19"
"5","target opponent loses 2 life for each swamp you control. this deals damage equal to the number of mountains you control to target creature. put a 1/1 green saproling creature token into play for each forest you control. you gain 2 life for each plains you control. draw a card for each island you control then discard that many cards from your hand.","5","2","0","14","0","[]","730549","0.34"
"3","when this is put into a graveyard from play put a 2/1 black cat creature token into play.","1","1","2.0","1","1.0","[]","730549","0.19"
"2","if an opponent plays a spell or ability that could target a flagbearer in play that player chooses at least one flagbearer as a target.","1","1","1.0","1","1.0","[]","730549","0.36"
"0","add one colorless mana to your mana pool. add or to your mana pool. this deals 1 damage to you.","2","5","0","14","0","[]","730549","2.48"
"5","whenever a player plays a black spell this gets +2/+2 until end of turn.","1","1","2.0","1","2.0","[]","730549","0.19"
"4","haste when this comes into play reveal the top four cards of your library. put all goblin cards revealed this way into your hand and the rest on the bottom of your library.","1","5","2.0","5","2.0","[u'Haste']","730549","2.28"
"3","target land becomes a plains or an island until end of turn.","1","1","2.0","1","2.0","[]","730549","0.18"
"1","prevent the next 1 damage that would be dealt to target creature or player this turn. target creature gains flying until end of turn.","3","1","1.0","1","1.0","[u'Flying']","730549","0.18"
"4","strike when this comes into play reveal the top four cards of your library. put all soldier cards revealed this way into your hand and the rest on the bottom of your library.","1","1","2.0","5","3.0","[u'First strike']","730549","0.22"
"1","sacrifice this: this deals 1 damage to each creature without flying.","1","1","1.0","1","1.0","[u'Flying']","730549","0.19"
"4","if an opponent plays a spell or ability that could target a flagbearer in play that player chooses at least one flagbearer as a target.","1","2","2.0","1","4.0","[]","730549","0.19"
"1","target land's type becomes the basic land type of your choice until end of turn.","1","1","0.0","1","2.0","[]","730549","0.25"
"5","kicker flying when this comes into play destroy all lands you control. if you paid the kicker cost destroy all lands instead.","2","1","5.0","14","4.0","[u'Flying', u'Kicker']","730549","1.62"
"5","at the beginning of your upkeep you gain 1 life for each card in target opponent's hand. tap target creature. play this ability only if this is attacking.","1","2","3.0","14","4.0","[]","730549","0.36"
"3","at the beginning of your upkeep if you control a white or blue permanent this deals 1 damage to target creature. if you control a white permanent and a blue permanent this deals 3 damage to that creature instead.","1","1","0","5","0","[]","730549","0.18"
"4","when this comes into play reveal the top four cards of your library. put all merfolk cards revealed this way into your hand and the rest on the bottom of your library.","1","1","1.0","5","2.0","[u'Flying']","730549","0.22"
"2","whenever this deals damage choose one each player loses 1 life; or each player gains 1 life.","2","1","2.0","1","2.0","[]","730549","0.18"
"3","destroy target artifact. draw a card.","1","3","0","1","0","[]","730549","0.20"
"5","choose a color. whenever this becomes blocked by a creature of that color this turn destroy that creature. play this ability only any time you could play a sorcery.","1","1","3.0","1","3.0","[]","730549","0.18"
"2","x damage to target creature or player. you gain x life.","2","5","0","14","0","[]","730549","0.40"
"3","skip your draw step. tap two untapped creatures you control: draw a card.","1","1","0","14","0","[]","730549","0.25"
"2","colored mana symbols on all permanents you control and on all cards you own that aren't in play become until end of turn. draw a card.","1","1","0","14","0","[]","730549","0.31"
"4","if a spell or ability an opponent controls causes you to discard this from your hand put it into play with two +1/+1 counters on it instead of putting it into your graveyard.","0","2","3.0","5","3.0","[]","730549","0.25"
"2","enchanted creature gets +2/+2. when enchanted creature is put into a graveyard return that creature card to its owner's hand.","2","1","0","1","0","[]","730549","0.25"
"3","sacrifice a creature: destroy target enchantment.","2","2","2.0","1","2.0","[]","730549","0.18"
"4","trample when this comes into play reveal the top four cards of your library. put all elf cards revealed this way into your hand and the rest on the bottom of your library.","1","4","2.0","5","2.0","[u'Trample']","730549","0.47"
"2","kicker if you paid the kicker cost this comes into play with two +1/+1 counters on it and has first strike. if you paid the kicker cost this comes into play with a +1/+1 counter on it and has trample.","3","1","1.0","14","1.0","[u'Trample', u'First strike', u'Kicker']","730549","0.34"
"3","","3","1","2.0","1","1.0","[u'Flying']","730549","0.19"
"5","when this is put into a graveyard from play put a 3/3 black kavu creature token into play.","1","1","3.0","5","3.0","[]","730549","0.23"
"5","look at the top four cards of your library. put one of those cards into your hand and the rest on the bottom of your library.","2","5","0","14","0","[]","730549","0.30"
"4","tap two untapped creatures you control: tap target creature.","1","1","0","5","0","[]","730549","0.20"
"1","enchanted creature has protection from green and from blue.","1","1","0","1","0","[u'Protection']","730549","0.18"
"1","target creature gets +2/+0 until end of turn. add one mana of any color to your mana pool.","3","1","1.0","1","1.0","[]","730549","0.19"
"6","trample whenever this attacks it gets +1/+1 until end of turn for each other attacking kavu.","1","1","4.0","14","4.0","[u'Trample']","730549","0.33"
"2","","2","1","1.0","1","1.0","[]","730549","0.25"
"3","target creature gets +2/+2 until end of turn. another target creature gets -2/-2 until end of turn.","2","2","0","1","0","[]","730549","0.21"
"4","counter target spell and this deals 3 damage to target creature.","2","1","0","14","0","[]","730549","0.37"
"2","enchanted creature can't attack. enchanted creature gets -1/-1 until end of turn. enchanted creature can't block this turn.","3","1","0","1","0","[]","730549","0.19"
"4","kicker— sacrifice a land. destroy target land. if you paid the kicker cost destroy another target land.","1","1","0","1","0","[u'Kicker']","730549","0.19"
"3","kicker creatures you control get +1/+1 until end of turn. if you paid the kicker cost zombies you control get an additional +2/+2 until end of turn.","2","1","0","1","0","[u'Kicker']","730549","0.20"
"4","kicker if you paid the kicker cost this comes into play with two +1/+1 counters on it and has flying. if you paid the kicker cost this comes into play with a +1/+1 counter on it and has "" pay 3 life: regenerate this.""","3","1","3.0","14","3.0","[u'Flying', u'Kicker']","730549","0.33"
"3","target player loses 1 life and you gain 1 life. draw a card.","1","1","0","1","0","[]","730549","0.19"
"5","whenever this deals damage to a creature put a +1/+1 counter on this. regenerate this.","2","4","6.0","14","6.0","[]","730549","1.09"
"4","you may play this any time you could play an instant. when this comes into play counter target spell.","2","4","2.0","14","2.0","[]","730549","1.26"
"4","flying; haste attacking doesn't cause this to tap.","3","4","3.0","14","4.0","[u'Flying', u'Haste']","730549","0.70"
"3","target player gains 1 life.","2","1","2.0","1","1.0","[]","730549","0.19"
"4","flying when this comes into play shuffle the cards from your hand into your library then draw that many cards. when this is put into a graveyard from play shuffle the cards from your hand into your library then draw that many cards.","1","1","2.0","5","2.0","[u'Flying']","730549","0.25"
"3","sacrifice this: destroy each artifact creature and enchantment with converted mana cost x or less.","2","3","0","14","0","[]","730549","4.99"
"3","kicker if you paid the kicker cost this comes into play with two +1/+1 counters on it and has "" whenever this deals damage you gain that much life."" if you paid the kicker cost this comes into play with a +1/+1 counter on it and has flying.","3","1","2.0","14","2.0","[u'Flying', u'Kicker']","730549","0.25"
"3","at the beginning of your upkeep if you control a blue or black permanent target creature gets +1/+1 until end of turn. if you control a blue permanent and a black permanent that creature gets +5/+5 until end of turn instead.","1","1","0","5","0","[]","730549","0.20"
"3","flying when this is put into a graveyard from play remove this from the game and each other player puts a 3/3 black angel creature token with flying into play.","1","1","3.0","5","3.0","[u'Flying', u'Haunt']","730549","0.22"
"5","sacrifice this: target creature gets -3/-3 until end of turn. draw a card.","3","1","3.0","1","3.0","[]","730549","0.18"
"4","flying regenerate this.","2","1","2.0","1","3.0","[u'Flying']","730549","0.19"
"8","destroy target nonblack creature. it can't be regenerated. put x 1/1 green saproling creature tokens into play where x is its converted mana cost.","2","2","0","5","0","[]","730549","0.22"
"3","put target permanent on top of its owner's library.","2","1","0","1","0","[]","730549","0.25"
"6","as this comes into play choose a creature type. when this comes into play reveal the top four cards of your library. put all creature cards of the chosen type revealed this way into your hand and the rest on the bottom of your library. creatures of the chosen type get +1/+1.","0","2","2.0","5","2.0","[]","730549","0.29"
"0","add one colorless mana to your mana pool. add or to your mana pool. this deals 1 damage to you.","2","5","0","14","0","[]","730549","2.00"
"2","sacrifice this: this deals 2 damage to target creature or player. sacrifice this: prevent the next 2 damage that would be dealt to target creature or player this turn.","2","2","2.0","1","2.0","[]","730549","0.19"
"2","flying","2","1","2.0","1","2.0","[u'Flying']","730549","0.20"
"5","destroy all enchantments. draw a card.","1","1","0","1","0","[]","730549","0.18"
"4","kicker when this comes into play destroy all other creatures you control. if you paid the kicker cost destroy all other creatures instead.","2","3","3.0","14","3.0","[u'Kicker']","730549","0.34"
"3","enchanted creature gets -1/-1 and has "" : target creature gets -1/-1 until end of turn.""","1","1","0","5","0","[]","730549","0.20"
"4","","2","1","2.0","1","3.0","[]","730549","0.19"
"1","target creature gets -2/-0 until end of turn. target creature gets +2/+0 until end of turn.","3","1","1.0","1","1.0","[]","730549","0.19"
"1","kicker x damage to target creature. if you paid the kicker cost this deals x damage to that creature's controller. if you paid the kicker cost you draw x cards.","2","1","0","5","0","[u'Kicker']","730549","0.22"
"8","you control enchanted creature. enchanted creature gets +2/+2 and has trample.","2","1","0","14","0","[u'Trample']","730549","0.25"
"3","sacrifice a land: you gain 3 life.","3","1","0","14","0","[]","730549","0.33"
"3"," whenever you play a nonred spell untap this.","1","1","4.0","5","2.0","[]","730549","0.20"
"1","search your library for a basic land card reveal that card and put it into your hand. then shuffle your library.","1","3","0","1","0","[]","730549","0.19"
"2","target land's type becomes the basic land type of your choice until end of turn. draw a card.","1","1","0","1","0","[]","730549","0.18"
"6","when this comes into play reveal the top four cards of your library. put all kavu cards revealed this way into your hand and the rest on the bottom of your library.","1","1","4.0","5","5.0","[]","730549","0.20"
"4","whenever this attacks it gets +3/-3 until end of turn.","2","1","2.0","5","5.0","[]","730549","0.20"
"3","sacrifice a land: put two 1/1 red and white goblin soldier creature tokens into play.","2","3","0","14","0","[]","730549","0.37"
"3","as an additional cost to play this sacrifice a creature. target player reveals his or her hand and discards all cards of each of the sacrificed creature's colors from it.","1","1","0","1","0","[]","730549","0.19"
"2","each creature you control assigns combat damage equal to its toughness rather than its power. target creature with defender can attack this turn as though it didn't have defender. creatures you control get +0/+1 until end of turn.","1","1","0","14","0","[u'Defender']","735572","1.18"
"2","deathtouch","1","1","2.0","1","1.0","[u'Deathtouch']","735572","0.18"
"6","defender megamorph","1","1","6.0","1","5.0","[u'Defender', u'Megamorph']","735572","0.19"
"2","","1","1","0","5","0","[u'Flying']","735572","0.75"
"4","target player shuffles his or her graveyard into his or her library. draw a card.","1","1","0","5","0","[]","735572","0.20"
"2","choose one — destroy target blue or black noncreature permanent. permanents you control can't be the targets of blue or black spells your opponents control this turn.","1","1","0","5","0","[]","735572","0.20"
"3","flying vigilance megamorph","1","1","2.0","1","1.0","[u'Vigilance', u'Flying', u'Megamorph']","735572","0.20"
"4","choose two — return target creature card with converted mana cost 2 or less from your graveyard to the battlefield. you gain 4 life.","2","2","0","14","0","[]","735572","1.16"
"2","destroy target monocolored creature.","1","2","0","5","0","[]","735572","0.28"
"5","destroy target creature with flying. bolster 2.","1","1","0","1","0","[u'Bolster', u'Flying']","735572","0.20"
"4","flying megamorph","1","1","3.0","1","1.0","[u'Megamorph', u'Flying']","735572","0.18"
"5","choose two — counter target noncreature spell. return target permanent to its owner's hand.","2","1","0","14","0","[]","735572","0.52"
"5","choose one or both — destroy target artifact. destroy target land.","1","1","0","1","0","[]","735572","0.19"
"3","flash flying exploit","1","1","2.0","5","1.0","[u'Exploit', u'Flash', u'Flying']","735572","0.26"
"3","exile one or more creature cards from your graveyard: put an x/ x black zombie horror creature token onto the battlefield tapped where x is twice the number of cards exiled this way.","1","1","0","14","0","[]","735572","0.32"
"4","look at the top card of your library. if it's a noncreature nonland card you may reveal it and put it into your hand. when you cast your next instant or sorcery spell from your hand this turn it gains rebound. you get an emblem with "" your opponents can't cast noncreature spells.""","2","1","0","18","0","[u'Rebound']","735572","11.00"
"1","target creature gets +0/+5 and gains reach until end of turn.","1","1","0","1","0","[u'Reach']","735572","0.20"
"2","flying when this dies draw a card.","1","1","1.0","1","1.0","[u'Flying']","735572","0.20"
"0","equipped creature gets +0/+2 and has reach. equip","0","2","0","1","0","[u'Reach']","735572","0.21"
"1","target creature gets - x/- x until end of turn.","1","3","0","5","0","[]","735572","0.22"
"1","tap target creature without flying.","1","1","0.0","1","2.0","[u'Flying']","735572","0.19"
"2","megamorph when this is turned face up put a +1/+1 counter on another target creature you control.","1","1","2.0","1","1.0","[u'Megamorph']","735572","0.18"
"3","when this enters the battlefield bolster 1.","1","1","2.0","1","2.0","[u'Bolster']","735572","0.27"
"1","you may look at face-down creatures you don't control.","0","1","1.0","1","2.0","[]","735572","0.20"
"7","flying trample when this enters the battlefield it deals 5 damage divided as you choose among any number of target creatures planeswalkers your opponents control.","2","1","8.0","18","8.0","[u'Trample', u'Flying']","735572","4.93"
"6","flying trample megamorph when this is turned face up put a +1/+1 counter on each other dragon creature you control.","1","1","3.0","5","3.0","[u'Megamorph', u'Trample', u'Flying']","735572","0.20"
"5","flying when this enters the battlefield bolster 1.","1","1","2.0","1","3.0","[u'Bolster', u'Flying']","735572","0.19"
"5","megamorph","1","1","3.0","1","4.0","[u'Megamorph']","735572","0.20"
"0","add to your mana pool. add one mana of any color to your mana pool. spend this mana only to cast a dragon creature spell. sacrifice this: return target dragon creature card or ugin planeswalker card from your graveyard to your hand.","0","1","0","14","0","[]","735572","1.13"
"3","strike whenever this attacks bolster 1.","1","1","1.0","5","1.0","[u'Bolster', u'First strike']","735572","0.20"
"2","flash enchant red or green creature when this enters the battlefield tap enchanted creature.","1","1","0","5","0","[u'Flash']","735572","0.22"
"1","enchant creature when this enters the battlefield tap target creature an opponent controls. enchanted creature gets +1/+3.","1","1","0","1","0","[]","735572","0.17"
"3","deathtouch whenever a permanent you control is turned face up you may return this from your graveyard to the battlefield face up or face down. megamorph","1","1","3.0","18","3.0","[u'Megamorph', u'Deathtouch']","735572","1.83"
"3","exile target artifact or enchantment.","1","1","0","1","0","[]","735572","0.19"
"2","megamorph when this is turned face up destroy target artifact or enchantment an opponent controls.","1","1","2.0","5","1.0","[u'Megamorph']","735572","0.22"
"5","put a 2/2 blue djinn monk creature token with flying onto the battlefield. rebound","1","1","0","1","0","[u'Rebound', u'Flying']","735572","0.18"
"3","flying dash","1","1","2.0","1","2.0","[u'Dash', u'Flying']","735572","0.20"
"2"," formidable — : put a 4/4 red dragon creature token with flying onto the battlefield. activate this ability only if creatures you control have total power 8 or greater.","1","1","2.0","18","2.0","[u'Flying', u'Formidable']","735572","1.22"
"1","whenever you cast a noncreature spell put a lore counter on this. put a lore counter on this. until end of turn this becomes a monk avatar creature in addition to its other types and gains "" this creature's power and toughness are each equal to the number of lore counters on it.""","1","1","0","14","0","[]","735572","0.68"
"5","flying whenever another creature enters the battlefield under your control target creature gets +2/+0 until end of turn.","2","2","5.0","14","4.0","[u'Flying']","735572","0.31"
"3","formidable — : regenerate this. activate this ability only if creatures you control have total power 8 or greater.","1","1","3.0","1","2.0","[u'Formidable']","735572","0.18"
"5","destroy target attacking or blocking creature. bolster 1.","1","1","0","1","0","[u'Bolster']","735572","0.19"
"5","draw a card then add one mana of any color to your mana pool. put a 4/4 red dragon creature token with flying onto the battlefield. search your library for any number of dragon creature cards and put them onto the battlefield. then shuffle your library.","3","1","0","18","0","[u'Flying']","735572","4.75"
"3","put any number of target creature cards from your graveyard on top of your library. draw a card.","1","2","0","1","0","[]","735572","0.18"
"6","flying when this enters the battlefield you may put a creature card with converted mana cost 3 or less from your hand or graveyard onto the battlefield. that creature gains haste. return it to your hand at the beginning of the next end step.","2","1","4.0","5","4.0","[u'Flying', u'Haste']","735572","0.25"
"5","as long as you control exactly one creature that creature gets +2/+0 and has deathtouch and lifelink.","1","1","0","5","0","[u'Deathtouch', u'Lifelink']","735572","0.20"
"2","formidable — : this gets +4/+4 until end of turn. activate this ability only if creatures you control have total power 8 or greater.","1","1","2.0","1","2.0","[u'Formidable']","735572","0.19"
"3","target creature you control deals damage equal to its power to target creature you don't control.","1","1","0","1","0","[]","735572","0.19"
"3","as an additional cost to cast this you may reveal a dragon card from your hand. target player sacrifices a creature. if you revealed a dragon card or controlled a dragon as you cast this you gain 4 life.","1","1","0","5","0","[]","735572","0.39"
"5","","1","1","2.0","1","5.0","[]","735572","0.19"
"3","prevent all combat damage that would be dealt this turn. you may look at each face-down creature that's attacking or blocking.","1","1","0","1","0","[]","735572","0.20"
"2","counter target noncreature spell.","1","13","0","1","0","[]","735572","0.21"
"4"," other zombie creatures you control get +1/+1. you may cast this from your graveyard if you pay more to cast it for each other creature card in your graveyard.","1","1","4.0","18","3.0","[]","735572","1.71"
"6","megamorph","1","1","4.0","1","6.0","[u'Megamorph']","735572","0.20"
"3","tap target creature. it doesn't untap during its controller's next untap step. rebound","1","1","0","1","0","[u'Rebound']","735572","0.18"
"4","draw a card. activate this ability only if you've cast a noncreature spell this turn.","0","1","0","5","0","[]","735572","0.21"
"2","whenever a creature with flying enters the battlefield under your control it gains haste until end of turn. whenever a dragon enters the battlefield under your control it deals x damage to target creature or player where x is the number of dragons you control.","1","1","0","14","0","[u'Flying', u'Haste']","735572","1.57"
"3","enchant creature enchanted creature has double strike.","1","4","0","5","0","[u'Double strike']","735572","0.24"
"3","whenever this or another creature enters the battlefield under your control that creature gets +2/+2 until end of turn. dash","1","1","2.0","5","2.0","[u'Dash']","735572","0.20"
"6","flying deathtouch megamorph when this is turned face up put a +1/+1 counter on each other dragon creature you control.","1","1","3.0","5","3.0","[u'Megamorph', u'Flying', u'Deathtouch']","735572","0.18"
"2","target creature you control gets +0/+3 and gains hexproof until end of turn.","1","1","0","1","0","[u'Hexproof']","735572","0.17"
"5","flying whenever an opponent casts a spell put a +1/+1 counter on this and you gain 1 life.","1","1","4.0","14","3.0","[u'Flying']","735572","0.84"
"4","whenever another permanent you control is turned face up if it's a creature put two +1/+1 counters on it. megamorph","1","1","3.0","5","3.0","[u'Megamorph']","735572","0.23"
"2","target player draws x cards and loses x life.","1","1","0","14","0","[]","735572","0.38"
"2","enchant creature enchanted creature gets +1/+1 for each +1/+1 counter on other creatures you control. enchanted creature has vigilance and "" : bolster 1.""","1","1","0","14","0","[u'Bolster', u'Vigilance']","735572","0.34"
"4","bolster 1 then put a +1/+1 counter on each creature you control with a +1/+1 counter on it.","1","1","0","5","0","[u'Bolster']","735572","0.20"
"2","choose two — prevent all damage target instant or sorcery spell would deal this turn. target player sacrifices an enchantment.","2","1","0","14","0","[]","735572","2.61"
"4","draw three cards. then discard two cards unless you discard a creature card.","1","1","0","1","0","[]","735572","0.20"
"4","look at the top six cards of your library. put up to two creature cards with converted mana cost 3 or less from among them onto the battlefield. put the rest on the bottom of your library in any order.","1","1","0","14","0","[]","735572","15.79"
"1","put x 1/1 white warrior creature tokens onto the battlefield.","1","1","0","14","0","[]","735572","2.07"
"4","as this enters the battlefield exile an instant or sorcery card from your graveyard. whenever this deals combat damage you may sacrifice it. if you do you may cast the exiled card without paying its mana cost.","1","1","4","14","4","[u'Living weapon']","735572","0.38"
"1","protection from dragons dragons as though it had reach.","1","1","2.0","5","1.0","[u'Protection', u'Reach']","735572","0.38"
"1","when this dies target creature an opponent controls gets -1/-1 until end of turn.","1","2","1.0","1","1.0","[]","735572","0.23"
"2","regenerate this. megamorph","1","1","1.0","5","1.0","[u'Megamorph']","735572","0.23"
"5","attacking creatures you control have double strike.","1","1","0","14","0","[u'Double strike']","735572","0.35"
"3","draw a card then discard a card. whenever you cast a noncreature spell untap this.","1","1","2.0","1","1.0","[]","735572","0.19"
"2","creatures with power less than this's power can't block it. megamorph when this is turned face up return target card from your graveyard to your hand.","1","1","2.0","14","1.0","[u'Megamorph']","735572","1.42"
"2","whenever a creature enters the battlefield under your control this deals 1 damage to each opponent.","1","1","0","1","0","[]","735572","0.44"
"2","enchant creature whenever enchanted creature attacks you may put a token onto the battlefield that's a copy of that creature. exile that token at end of combat.","1","1","0","14","0","[]","735572","0.39"
"1","exploit when this exploits a creature return target creature to its owner's hand.","1","1","0.0","1","4.0","[u'Exploit']","735572","0.27"
"5","counter target spell. draw a card.","1","1","0","1","0","[]","735572","0.19"
"0","sacrifice this: search your library for a basic land card and put it onto the battlefield tapped. then shuffle your library.","0","20","0","1","0","[]","735572","0.24"
"3","add or to your mana pool. dragon artifact creature with flying until end of turn.","2","1","0","5","0","[u'Flying']","735572","0.20"
"4","vigilance formidable — : add to your mana pool. activate this ability only if creatures you control have total power 8 or greater.","1","1","2.0","5","4.0","[u'Vigilance', u'Formidable']","735572","0.20"
"2","as an additional cost to cast this you may reveal a dragon card from your hand. dragon card or controlled a dragon as you cast this.","1","2","2.0","5","3.0","[]","735572","0.23"
"4","up to two target creatures each get +2/+2 and gain trample until end of turn.","1","1","0","5","0","[u'Trample']","735572","0.20"
"7","return target instant or sorcery card from your graveyard to your hand. this deals damage equal to that card's converted mana cost to each creature your opponents control. exile this.","1","1","0","14","0","[]","735572","0.32"
